place,movie_title,rating,year,star_cast
73,Coco,8.315211331324853,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal"
74,Toy Story,8.31407611084011,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen"
75,Joker,8.312648263498284,2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro"
76,Braveheart,8.312549583136395,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau"
77,Das Boot,8.311581228017435,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer"
78,Avengers: Endgame,8.303760971440038,2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
79,Mononoke-hime,8.302947665778666,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida"
80,Once Upon a Time in America,8.294416430168946,1984,"Sergio Leone (dir.), Robert De Niro, James Woods"
81,Good Will Hunting,8.293064138464976,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon"
82,Kimi no na wa,8.282832433053759,2016,"Makoto Shinkai (dir.), Ryunosuke Kamiki, Mone Kamishiraishi"
83,Singin' in the Rain,8.275237820958795,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
84,3 Idiots,8.274882196917261,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
85,Requiem for a Dream,8.273592382863997,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
86,Tengoku to jigoku,8.272129323811775,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
87,Toy Story 3,8.27058059345748,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen"
88,Capharnaüm,8.266969974252753,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
89,Star Wars: Episode VI - Return of the Jedi,8.264092455771074,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
90,Eternal Sunshine of the Spotless Mind,8.261530839435123,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
91,2001: A Space Odyssey,8.26147426564384,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
92,Idi i smotri,8.25977593817889,1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
93,Reservoir Dogs,8.258598668596498,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
94,Jagten,8.257421264447414,2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen"
95,Citizen Kane,8.249783374865864,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten"
96,M - Eine Stadt sucht einen Mörder,8.24953081478195,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
97,Lawrence of Arabia,8.249338058666876,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness"
98,North by Northwest,8.245436686578515,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
99,Ikiru,8.244168587134501,1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
10, Vertigo,8.242564754529427,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak"
101,The Apartment,8.241605312460955,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
102,Le fabuleux destin d'Amélie Poulain,8.240904954810818,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
103,A Clockwork Orange,8.238113034171848,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
104,Double Indemnity,8.237812589037222,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
105,Full Metal Jacket,8.23672101599522,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
106,Scarface,8.234787506973895,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
107,Hamilton,8.231383434544137,2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo"
108,Incendies,8.226896017723671,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
109,Heat,8.22579960644967,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro"
110,To Kill a Mockingbird,8.225503914476638,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna"
111,Up,8.22474435185294,2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai"
112,The Sting,8.22467450918007,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford"
113,Jodaeiye Nader az Simin,8.221198300283568,2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
114,Metropolis,8.220709160274296,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
115,Taxi Driver,8.218904369563862,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
116,LA Confidential,8.218309905249823,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
117,Die Hard,8.217648782779476,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
118,Snatch,8.216796138443259,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
119,Indiana Jones and the Last Crusade,8.216685452731921,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
120,Top Gun: Maverick,8.216446346921423,2022,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly"
121,Ladri di biciclette,8.215678936432246,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
122,Taare Zameen Par,8.21260117447449,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
123,1917,8.211115666025362,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
124,Der Untergang,8.203209882454612,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
125,Dangal,8.200094689966205,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
126,Per qualche dollaro in più,8.198842334444375,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
127,Batman Begins,8.197166631331253,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
128,The Kid,8.190691569183373,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
129,Some Like It Hot,8.190212513029962,1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
130,The Father,8.181722517885865,2020,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman"
131,All About Eve,8.180070793966483,1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
132,The Wolf of Wall Street,8.178115520585186,2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
133,Green Book,8.177608130674486,2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali"
134,Judgment at Nuremberg,8.171766362025668,1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster"
135,Ran,8.164426078622116,1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
136,Casino,8.163970233662935,1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
137,The Truman Show,8.161484350807322,1998,"Peter Weir (dir.), Jim Carrey, Ed Harris"
138,There Will Be Blood,8.16062295761939,2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
139,Pan's Labyrinth,8.16034616423845,2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
140,Unforgiven,8.158515021239353,1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman"
141,The Sixth Sense,8.154674179537306,1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment"
142,Shutter Island,8.153445477575639,2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer"
143,A Beautiful Mind,8.150819400312995,2001,"Ron Howard (dir.), Russell Crowe, Ed Harris"
144,Jurassic Park,8.149546451705314,1993,"Steven Spielberg (dir.), Sam Neill, Laura Dern"
145,Yôjinbô,8.147413861222734,1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
146,The Treasure of the Sierra Madre,8.146895187448672,1948,"John Huston (dir.), Humphrey Bogart, Walter Huston"
147,Monty Python and the Holy Grail,8.14516946860629,1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese"
148,No Country for Old Men,8.140258306435754,2007,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem"
149,The Great Escape,8.139716698898399,1963,"John Sturges (dir.), Steve McQueen, James Garner"
150,Kill Bill: Vol 1,8.139041142351402,2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine"
151,Rashômon,8.13769003192903,1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
152,Spider-Man: No Way Home,8.13445062137068,2021,"Jon Watts (dir.), Tom Holland, Zendaya"
153,The Thing,8.134096338976317,1982,"John Carpenter (dir.), Kurt Russell, Wilford Brimley"
154,Finding Nemo,8.131368040532404,2003,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres"
155,The Elephant Man,8.12676619370208,1980,"David Lynch (dir.), Anthony Hopkins, John Hurt"
156,Chinatown,8.125258219520049,1974,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway"
157,Raging Bull,8.122687584006412,1980,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty"
158,V for Vendetta,8.12240471288437,2005,"James McTeigue (dir.), Hugo Weaving, Natalie Portman"
159,Gone with the Wind,8.121539231517957,1939,"Victor Fleming (dir.), Clark Gable, Vivien Leigh"
160,"Lock, Stock and Two Smoking Barrels",8.120008908991663,1998,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher"
161,Dial M for Murder,8.119770052620174,1954,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly"
162,Inside Out,8.119719608205626,2015,"Pete Docter (dir.), Amy Poehler, Bill Hader"
163,El secreto de sus ojos,8.117904609925173,2009,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil"
164,Hauru no ugoku shiro,8.117556808295083,2004,"Hayao Miyazaki (dir.), Chieko Baisho, Takuya Kimura"
165,"Three Billboards Outside Ebbing, Missouri",8.111350967465889,2017,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson"
166,Trainspotting,8.110296459590668,1996,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner"
167,The Bridge on the River Kwai,8.110043687872555,1957,"David Lean (dir.), William Holden, Alec Guinness"
168,Prisoners,8.106694895186227,2013,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal"
169,Warrior,8.102467855382658,2011,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte"
170,Fargo,8.10242799092545,1996,"Joel Coen (dir.), William H. Macy, Frances McDormand"
171,Gran Torino,8.100172499025362,2008,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang"
172,Tonari no Totoro,8.092036113515073,1988,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka"
173,Catch Me If You Can,8.091550228570064,2002,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks"
174,Million Dollar Baby,8.088543454384585,2004,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood"
175,Bacheha-Ye aseman,8.086463206925933,1997,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian"
176,Blade Runner,8.084598499884912,1982,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer"
177,The Gold Rush,8.084379324740427,1925,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain"
178,Klaus,8.081790338743634,2019,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons"
179,Before Sunrise,8.081035487959547,1995,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
180,Harry Potter and the Deathly Hallows: Part 2,8.08103189956829,2011,"David Yates (dir.), Daniel Radcliffe, Emma Watson"
181,12 Years a Slave,8.08054211242646,2013,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams"
182,On the Waterfront,8.078682681083427,1954,"Elia Kazan (dir.), Marlon Brando, Karl Malden"
183,Ben-Hur,8.077904439454962,1959,"William Wyler (dir.), Charlton Heston, Jack Hawkins"
184,The Grand Budapest Hotel,8.077336284305103,2014,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham"
185,Gone Girl,8.07697399572475,2014,"David Fincher (dir.), Ben Affleck, Rosamund Pike"
186,Smultronstället,8.075721081828855,1957,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson"
187,The General,8.07498627239516,1926,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack"
188,Barry Lyndon,8.073847626747648,1975,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson"
189,In the Name of the Father,8.073695176887437,1993,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite"
190,The Third Man,8.073497519667049,1949,"Carol Reed (dir.), Orson Welles, Joseph Cotten"
191,The Deer Hunter,8.073031585527938,1978,"Michael Cimino (dir.), Robert De Niro, Christopher Walken"
192,Hacksaw Ridge,8.071227764708283,2016,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington"
193,Le salaire de la peur,8.0702731152886,1953,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel"
194,Salinui chueok,8.069178618757913,2003,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung"
195,Sherlock Jr,8.067974982829377,1924,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire"
196,Relatos salvajes,8.067612277953605,2014,"Damián Szifron (dir.), Darío Grandinetti, María Marull"
197,Mr Smith Goes to Washington,8.066403803003645,1939,"Frank Capra (dir.), James Stewart, Jean Arthur"
198,Mad Max: Fury Road,8.06359423314555,2015,"George Miller (dir.), Tom Hardy, Charlize Theron"
199,Mary and Max,8.062838348347706,2009,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman"
200,Det sjunde inseglet,8.061990891804106,1957,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand"
201,How to Train Your Dragon,8.061363797641759,2010,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler"
202,"Monsters, Inc",8.060720649713742,2001,"Pete Docter (dir.), Billy Crystal, John Goodman"
203,Jaws,8.060147122120938,1975,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw"
204,Room,8.060006041161097,2015,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay"
205,Dead Poets Society,8.059995977443021,1989,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard"
206,The Big Lebowski,8.058024142355208,1998,"Joel Coen (dir.), Jeff Bridges, John Goodman"
207,Tôkyô monogatari,8.05532179171816,1953,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama"
208,La passion de Jeanne d'Arc,8.053151612019926,1928,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain"
209,Ford v Ferrari,8.049438958709871,2019,"James Mangold (dir.), Matt Damon, Christian Bale"
210,Hotel Rwanda,8.048601244900222,2004,"Terry George (dir.), Don Cheadle, Sophie Okonedo"
211,Rocky,8.046741116406595,1976,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire"
212,Platoon,8.044250079247957,1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger"
213,Ratatouille,8.04281882165298,2007,"Brad Bird (dir.), Brad Garrett, Lou Romano"
214,Spotlight,8.041016636577588,2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton"
215,Logan,8.0402131469411,2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart"
216,The Terminator,8.04009408900582,1984,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
217,Stand by Me,8.037396686883094,1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix"
218,Rush,8.035322797326565,2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth"
219,Network,8.034482859894977,1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden"
220,Before Sunset,8.032583512580228,2004,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
221,Into the Wild,8.031396852453884,2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn"
222,The Wizard of Oz,8.030588769075194,1939,"Victor Fleming (dir.), Judy Garland, Frank Morgan"
223,The Best Years of Our Lives,8.02839308815645,1946,"William Wyler (dir.), Myrna Loy, Dana Andrews"
224,Groundhog Day,8.027138623048891,1993,"Harold Ramis (dir.), Bill Murray, Andie MacDowell"
225,The Exorcist,8.026572657619704,1973,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow"
226,Pather Panchali,8.025191277265328,1955,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee"
227,The Incredibles,8.024920719042887,2004,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson"
228,To Be or Not to Be,8.02441150191914,1942,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny"
229,La haine,8.024047560197953,1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé"
230,Pirates of the Caribbean: The Curse of the Black Pearl,8.023206349349262,2003,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush"
231,La battaglia di Algeri,8.022299269626949,1966,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin"
232,The Grapes of Wrath,8.022099374732843,1940,"John Ford (dir.), Henry Fonda, Jane Darwell"
233,Jai Bhim,8.022088914812729,2021,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose"
234,Hachi: A Dog's Tale,8.022052398386506,2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen"
235,Babam ve Oglum,8.020034587450175,2005,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan"
236,Amores perros,8.0197911548127,2000,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal"
237,Rebecca,8.018984865085194,1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine"
238,Cool Hand Luke,8.018323141547677,1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
239,Ah-ga-ssi,8.017059640528235,2016,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo"
240,Les quatre cents coups,8.013731726068773,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
241,The Sound of Music,8.013274321951002,1965,"Robert Wise (dir.), Julie Andrews, Christopher Plummer"
242,It Happened One Night,8.012747085674281,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
243,Persona,8.011417201040825,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
244,Life of Brian,8.009076805539774,1979,"Terry Jones (dir.), Graham Chapman, John Cleese"
245,The Iron Giant,8.005582246294539,1999,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr."
246,The Help,8.005382897255242,2011,"Tate Taylor (dir.), Viola Davis, Emma Stone"
247,Dersu Uzala,8.004740234052237,1975,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin"
248,Aladdin,8.003761417106842,1992,"Ron Clements (dir.), Scott Weinger, Robin Williams"
249,Dances with Wolves,8.001677353333873,1990,"Kevin Costner (dir.), Kevin Costner, Mary McDonnell"
250,Gandhi,8.001549283297464,1982,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud"
